"Data Source","World Development Indicators",

"Last Updated Date","2016-10-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"China","CHN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","52661","55360","59657","66290","73021","100432","125442","155602","180772","126440","151281","191220","235524","282282","346786","398946","469106","559638","669675","747900","796867","817857","847916","862078","861364","876470","891170","880859","858031","824113","795713","770629","734325","705723","685202","684290","703117","738526","798506","989139","","","","","","","","","","","","","","","","",
"China","CHN","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.122418505924","114.915809673553","111.881566247854","118.226847225346","114.595229891452","103.232647366266","96.7602878411879","94.4274600854776","93.171457719779","89.5537799427583","90.3267102138675","88.8524988779264","","","",
"China","CHN","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287.502183406114","295.595344673232","306.917562724014","308.472160356347","325.823367065317","332.193390791354","335.584002367827","342.731154845897","349.347136728222","357.275628989861","372.56419939577","364.377601210745","","","",
"China","CHN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3423500","3451000","3479500","3508000","3546000","3582000","3618000","3654000","3700000","3746000","3792500","3838700","3894800","3961000","4007100","4066600","4126000","4184700","4231900","4276040","4329090","4425180","4529280","4645370","4763470","4824560","4877660","4933750","4994850","5056940","5113790","5143140","5182230","5228330","5228330","5228720","5233330","5236830","5231330","5220030","5199150","5185330","5161330","5164330","5174330","5141330","5145680","5145490","5145530","5145500","5145530","5145530","5145530","","","",
"China","CHN","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","36.4657950097196","36.7587143503848","37.0622853034378","37.3658562564908","37.7706175272282","38.1540755731899","38.5375336191516","38.9209916651133","39.4109658349533","39.9009400047932","40.3962399808271","40.8883444731446","41.4858999281016","42.1910366681756","42.6820759992544","43.31584693633","43.9485527121668","44.5738023593321","45.0765584640375","45.5467206348361","46.1117886720102","47.1353021063563","48.2441349559289","49.4806806380316","50.7386360610337","51.389343061806","51.9549436795995","52.5523926184326","53.2032061353287","53.8645647484888","54.4701089127367","54.7827337363193","55.1991052645594","55.6901445956382","55.6902039146848","55.6944173715386","55.7435214092539","55.7808021320313","55.7222181390954","55.6019138878296","55.3795417237072","55.2323417623281","54.9767049909297","55.0086611269185","55.1151817857369","54.7636794799913","54.8100176872893","54.8079938724853","54.8084187711588","54.8080992214598","54.8084187711588","54.8084187711588","54.8084187711588","","","",
"China","CHN","Arable land (hectares)","AG.LND.ARBL.HA","","102600000","102300000","102100000","101900000","101650000","101200000","100720000","100240000","99760000","99280000","98850000","98390000","97920000","98460000","96990000","96860000","96720000","96430000","96452000","96175000","96790000","101700000","107300000","114000000","120100000","120500000","120200000","120900000","122200000","123800000","124875000","122900000","121300000","120700000","119580000","119339000","119500000","119850000","119300000","118170000","116082000","114500000","111700000","111600000","112250000","108700000","108485000","108116000","107720000","107220000","106520000","105920000","105720000","","","",
"China","CHN","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.155376857026032","0.153656668218754","0.149633244667209","0.145914327240444","0.142131056999238","0.137612183845526","0.133483533231728","0.129423764702844","0.125322697151471","0.121322473619572","0.117523971442329","0.114137559017668","0.111027961085788","0.109357472094186","0.105838639451328","0.104073881066096","0.102516813202537","0.100850794580433","0.0995371540910522","0.0980142371603133","0.0973855124083772","0.100829838493799","0.104855811044552","0.109951052491983","0.114267772872583","0.112955689498402","0.110882028716785","0.109746466599493","0.10923881464265","0.109057114038681","0.108513356158432","0.105496278874134","0.102932690675809","0.101272407673881","0.0992484572832416","0.0980156872407704","0.0971485478527732","0.0965026350010266","0.0952316331865877","0.0935892511355132","0.0912701969571884","0.0894251796313652","0.0866966780502949","0.0861061281175858","0.086099776025527","0.0829125413799942","0.0823175011476722","0.0816182326719033","0.0809158241064856","0.0801522009710661","0.0792482869960495","0.0784188880539278","0.0778853379304248","","","",
"China","CHN","Arable land (% of land area)","AG.LND.ARBL.ZS","","10.9285543099087","10.8965994727452","10.8752962479695","10.8539930231939","10.8273639922243","10.7794317364791","10.7283039970176","10.677176257556","10.6260485180944","10.5749207786329","10.5291188453652","10.4801214283812","10.4300588501584","10.4875775570527","10.3309988549517","10.3171517588475","10.3022395015045","10.2713498255798","10.2736931803052","10.2441882139909","10.309695630176","10.8326897984182","11.4291800921364","12.1428381221207","12.7925864777781","12.8351929273294","12.8032380901659","12.8777993768807","13.0162703379224","13.1866961361276","13.3012009692967","13.0908316246372","12.920405826432","12.856496152105","12.7372116605455","12.7115547872176","12.7287039196952","12.7659846424725","12.7074006495367","12.5870505804082","12.3646518418806","12.1961439904241","11.8978983081625","11.8872469066928","11.9564835552602","11.5783502702123","11.5554499479283","11.5161453341035","11.4739645284922","11.4207062453113","11.346144648858","11.2822347090409","11.2609313957686","","","",
"China","CHN","Land under cereal production (hectares)","AG.LND.CREL.HA","","89712000","88910008","90371008","92086008","91089016","92863000","91965000","89643008","91280008","92886508","96197008","96529000","96185008","96848008","97239491","97788749","96433874","96648324","95472504","94370308","91944016","90301916","92104816","91739562","88145866","89761952","89694400","88790680","90871369","93020205","93608376","92081747","88812850","87436560","89309000","92208130","91959386","92118640","91617160","85264010","82595600","81466293","76810000","79351255","81873900","83143180","85777000","86249000","88401090","89907000","91006790","92538010","93844960","94694000","","",
"China","CHN","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","0.186403216786941","0.191729022980854","0.197054829174766","0.202380635368679","0.207706441562592","0.213032247756504","0.221553537666764","0.230074827577024","0.238596117487285","0.247117407397545","0.255638697307805","0.264159987218065","0.272681277128325","0.281202567038585","0.289723856948846","0.298245146859106","0.306766436769366","0.315287726679626","0.324661145580912","0.333395467738929","0.341916757649189","0.351503208798232","0.372806433573882","0.404761270737358","0.521929007003435","0.639096743269512","0.745612867147764","0.77756770431124","0.798870929086891","0.798870929086891","0.798870929086891","0.830825766250366","0.926690277740793","0.990599952067744","1.10989919303299","1.13972495347898","1.17167985871671","1.17167985871671","1.17167985871671","1.17168110674867","1.17168183060842","1.19298526369214","1.23559194605806","1.27819859211751","1.31547948247184","1.34210867897585","1.41134453436005","1.44862533338088","1.49123192906508","1.54449021224598","1.61905180869923","1.6829617485163","1.70426506178866","","","",
